league,market,n,pct_passing_gate,pct_clv_gt_0,avg_clv_pp
EPL,AH,46,0.7391304347826086,0.0,
EPL,ML,47,0.6382978723404256,0.0,
EPL,OU,55,0.6363636363636364,0.0,
NBA,AH,52,0.7307692307692307,0.0,
NBA,ML,440,0.9568181818181818,0.4727272727272727,0.019948804130549558
NBA,OU,45,0.8222222222222222,0.0,
NHL,AH,46,0.717391304347826,0.0,
NHL,ML,46,0.717391304347826,0.0,
NHL,OU,55,0.7090909090909091,0.0,
