scope,n,pct_clv_gt_0,avg_clv_pp
overall,832,0.0,-6.603702551472185
league=EPL,148,0.0,
league=NBA,537,0.0,-6.603702551472185
league=NHL,147,0.0,
market=AH,144,0.0,
market=ML,533,0.0,-6.603702551472185
market=OU,155,0.0,
